publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-24T14:18:42Z,@simplicitylost,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=424"">7:04</a> Wow, I didn’t realize how bendy Hannity can be. He is a true ride-or-die no matter which way the wind blows. That’s how you know he doesn’t actually value anything. At least the MAGA guy at the beginning had a to-be-expected reaction.",0
2025-11-24T14:17:30Z,@IamHuman-f2t,"Hasan bought and ate the horse that lost him $30,000",3
2025-11-24T14:11:55Z,@TV119-f7i,Hasan is literally the irl Brian Griffin it’s so uncanny,3
2025-11-24T17:38:35Z,@nsomniac0794,"Ah smile dog, that takes me back",0
2025-11-24T14:05:03Z,@angiesunnie8469,🥨 logic from FAUX commentary,1
2025-11-24T14:03:23Z,@mrsexyface,"Okay Hasan, so no one saw it coming but you, all knowing prophet 🙏",1
2025-11-24T13:55:34Z,@RoosterCP,the press tried so hard for there to be conflict or create tension and both of them just ate it i love it,0
2025-11-24T13:50:11Z,@Fellony0,&quot;I was wearing this exact shirt&quot; like this room temp IQ homunculus has any other shirts 😂 I&#39;m sure he&#39;s been sat complaining in that thing since 9/11,0
2025-11-24T13:41:11Z,@theheardtheorem,Pretty telling that MAGA is so upset about Trump meeting with the democratically elected Mayor of NYC while not saying a negative word about him meeting with a guy that literally saws people’s limbs off while they are still alive and then throw them into a vat of acid,0
2025-11-24T13:53:30Z,@Sneakyjabs,"No ones upset, the majority of people dont actually care. You&#39;ve been brainwashed n manipulated by a echo chamber. If you lived a life outside of the internet no one cares no ones upset. You look just as foolish as what you call the &quot;maga&quot; crowd, you have no idea you are the exact same as maga just on the opposite side of the spectrum.",0
2025-11-24T16:37:36Z,@theheardtheorem,"@Sne@Sneakyjabs you think no one is upset, you’re the one that needs to get out into the real world and are living in an echo chamber. I live in Texas. I talk with and know people all across the political spectrum. The fact that you claim “no ones upset” in comment section of a video where someone is clearly upset about it is a nice bit of both irony and delusion on your part.",0
2025-11-24T13:32:53Z,@BlackberryTitties,Karoline is annoying.,1
2025-11-24T13:30:41Z,@kennyowings911,Amazing how the MAGA sheep worship and listen to billionaires like Shawn fawning Hannity.  He’s a snake oil’s salesman who originated in trailer park and got rich off selling fear and hatred.,0
2025-11-24T13:28:40Z,@patrickmctoal,Shoutout to first dude for looking like an uncircumcised dick. Very cool,1
2025-11-24T13:26:23Z,@goodgirl140,"Honestly think Trump&#39;s reaction to Zohran was a dementia response. Reminds me of my grandma. He&#39;s just taking the cues from Zohran&#39;s smiley demeaner, and mirroring him.",1
2025-11-24T13:23:47Z,@RationalMinded,Don&#39;t forget to call them low IQ -- these people are quantifiably stupid.,0
2025-11-24T13:22:45Z,@chrisclarke4665,The fact that he found Zohran being there more controversial than the head of the Saudis just shows how deluded they are in their logic.,1
2025-11-24T13:15:18Z,@Betita-2200,Zohran is a con man savvy artist he will do what he&#39;s told to do,1
2025-11-24T13:10:03Z,@JYopper-f8c,We all loved Zorhan kissing trumps feet.. that said hasan I heard you are getting canceled for horse racing guess people realize you are the rich they don’t like..,0
2025-11-24T13:03:05Z,@Maxx-Rabbits,&quot;Stop contributing to the horse abuse&quot;<br>Hamas Pecker= I use to ride horses so that means I can<br> Man this guy gets dumber and dumber.,3
2025-11-24T12:59:13Z,@bj00rn,MAGA is so mind-blowingly cucked...holy crap...,1
2025-11-24T12:58:04Z,@BeepBoopBleepBlorp,Just treat Trump like any old person: ask them about something they are proud of and act interested.,0
2025-11-24T12:55:09Z,@jjsantangelo49,"The fuck is so happy about china? I like Hasan, but sometimes he says shit that makes me scratch my head lol",1
2025-11-24T12:55:04Z,@5115neo,Watching KKKaroline get the chair will be a top 5 moment of my life,1
2025-11-24T12:45:33Z,@PeakSupreme,PETA would like to have a talk to you if you weren&#39;t a tool for their same PR group<br>( )( )===========D~~~~~~~~<br>This is a rocket ship that shoots space lasers from Sudan&#39;s space program via Jeff Bezos. .,1
2025-11-24T12:29:20Z,@WAXER525,"HP calls Trump a fascist but think China is a role model. What a moron.<br>&quot;I believe capitalism will lead to authoritarianism...&quot;<br>&quot;Why?&quot;<br>&quot;Trust me, bro!&quot;",1
2025-11-24T12:27:36Z,@missbeaussie,The distinction made between &quot;we won&#39;t pay to feed the poor  but we&#39;ll help the common man&quot; is so subtle and gross.,2
2025-11-24T12:23:29Z,@GlassND,Don’t shock me.,4
2025-11-24T12:10:14Z,@hannahbalkovec,"And also Ilhan and AOC aren’t as popular nationally because they are a Black woman and a WOC saying the same things as their male counterparts. And Claudia Sheinbaum looks like half of Mexican aunties while having progressive takes that directly counteract an obvious fascist pos that is currently targeting Central and South America, which the racists that hate Ilhan and AOC don’t care about.",0
2025-11-24T12:04:21Z,@Mothman104,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=790"">13:10</a> where the fuck are we seeing a 20% decrease? Georgia consistently had some of the lowest gas prices in the east for the past 3 years, and all I&#39;ve seen prices do this year is go up steadily by a few cents each month.",0
2025-11-24T11:58:21Z,@Chihiro-zz9bp,Are you the one who like to zap dog?  I just asking,4
2025-11-24T11:55:32Z,@michealjames4410,Bro who the fuck watches you anymore didnt u abuse ur dog 😂,3
2025-11-24T12:11:18Z,@Vzshara,&quot;But my favorite drama sloptuber said his career was OVER!!&quot; 😢 🍼,4
2025-11-24T15:05:06Z,@MecanoGames,​​@VzsharaI even saw one slop VTuber saying he was being deported... are peoples this stupid to believe this or they just want it to be true ? 😂,0
2025-11-24T11:54:11Z,@paula.tecuenta,Mamdani is such a great person... I would have winced in disgust the whole press conference xDDD,1
